hebname,numberofpop,city_heights,busStations,num_fact,pol_fact,amount_of_pol,aqi_global,cars,trees,lat,lan,belogns,type
ע'ג'ר,2806.0,282.0,1.0,0.0,0.0,0.0,70.0,1197.93349792,837.0,33.2698823,35.63095,עיר,עיר
נס ציונה,50341.0,39.0,160.0,0.0,0.0,0.0,58.0,21802.0,11066.0,31.9208632,34.7905743,עיר,עיר
עזוז,86.0,331.0,1.0,0.0,0.0,0.0,59.0,33.05777196,645.0,30.7916672,34.4722219,מועצה אזורית רמת נגב,ישוב
רחובות,150748.0,51.0,30.0,4.0,3.0,11.0,57.0,58707.0,15554.0,31.8934429,34.806665,עיר,עיר
שדה בוקר,470.0,470.0,1.0,0.0,0.0,0.0,59.0,180.6645598,645.0,30.8737395,34.7925947,מועצה אזורית רמת נגב,ישוב
מג'דל א-שמס,11458.0,1231.0,21.0,0.0,0.0,0.0,70.0,5463.4,7240.0,33.268388,35.776167,עיר,עיר
טללים,610.0,361.0,1.0,0.0,0.0,0.0,60.0,234.4795361,645.0,30.9919058,34.7700732,מועצה אזורית רמת נגב,ישוב
בוקעאתא,6805.0,28.0,39.0,1.0,1.0,2.0,70.0,3446.0,16196.0,33.2097816,35.7789566,עיר,עיר
מרחב עם,516.0,511.0,1.0,0.0,0.0,0.0,59.0,198.3466259,645.0,30.8886192,34.828885,מועצה אזורית רמת נגב,ישוב
מסעדה,3869.0,1034.0,16.0,0.0,0.0,0.0,70.0,1545.5298573,9941.0,33.2303921,35.7745654,עיר,עיר
כמהין,198.0,225.0,1.0,0.0,0.0,0.0,60.0,76.10975126,645.0,30.9100139,34.4310272,מועצה אזורית רמת נגב,ישוב
עין קנייא,2190.0,796.0,12.0,0.0,0.0,0.0,70.0,888.0682329399999,2505.0,33.2391826,35.7342145,עיר,עיר
באר מילכה,208.0,291.0,1.0,0.0,0.0,0.0,60.0,79.95367918,645.0,30.9328457,34.4070405,מועצה אזורית רמת נגב,ישוב
מצפה רמון,5263.0,712.0,41.0,3.0,2.0,4.0,56.0,2739.9214191,5719.0,30.6282974,34.8224959,עיר,עיר
רתמים,651.0,260.0,1.0,0.0,0.0,0.0,61.0,250.2396368,645.0,31.0539263,34.690428,מועצה אזורית רמת נגב,ישוב
ירוחם,11170.0,518.0,104.0,4.0,4.0,11.0,58.0,4082.0,5622.0,31.0127563,34.9124725,עיר,עיר
מדרשת בן גוריון,1938.0,473.0,1.0,0.0,0.0,0.0,59.0,744.95302,645.0,30.8515927,34.7825759,מועצה אזורית רמת נגב,ישוב
נאות חובב,3123.6,379.0,13.0,19.0,18.0,60.0,60.0,2136.1204877239998,4085.0,31.1181666,34.8430399,עיר,עיר
אורות,475.0,886.0,1.0,0.0,0.0,0.0,59.0,270.7549189,2003.0,31.7407214,34.734914,מועצה אזורית באר טוביה,ישוב
אשקלון,153138.0,63.0,75.0,10.0,10.0,32.0,51.0,61038.0,6625.0,31.6689613,34.5531364,עיר,עיר
אור הגנוז,607.0,55.0,1.0,0.0,0.0,0.0,71.0,322.6624919,7875.0,33.005079,35.4475065,מועצה אזורית מרום הגליל,ישוב
עומר,7710.0,331.0,50.0,1.0,1.0,2.0,59.0,3876.2,8743.0,31.2745169,34.8487248,עיר,עיר
תאשור,461.0,137.0,1.0,0.0,0.0,0.0,62.0,173.0682909,5957.0,31.3718709,34.6437068,מועצה אזורית בני שמעון,ישוב
דימונה,36776.0,469.0,242.0,4.0,4.0,11.0,55.0,15460.0,11627.0,31.0780389,35.0850931,עיר,עיר
כרמים,560.0,405.0,1.0,0.0,0.0,0.0,59.0,210.2347993,5957.0,31.3356266,34.9190091,מועצה אזורית בני שמעון,ישוב
תל שבע,22849.0,312.0,17.0,0.0,0.0,0.0,59.0,10216.8,1834.0,31.2505692,34.8658582,עיר,עיר
מיתר,10947.0,457.0,45.0,0.0,0.0,0.0,59.0,5178.8,3433.0,31.3236702,34.9374941,עיר,עיר
נאות הכיכר,448.0,-350.0,1.0,0.0,0.0,0.0,53.0,200.2072536,1362.0,30.9330032,35.3772356,מועצה אזורית תמר,ישוב
חורה,24822.0,674.0,46.0,1.0,1.0,1.0,59.0,4782.0,772.0,31.2957458,34.9405655,עיר,עיר
עין תמר,202.0,-347.0,1.0,0.0,0.0,0.0,53.0,90.27202104,1362.0,30.943309,35.3747349,מועצה אזורית תמר,ישוב
ערד,28170.0,488.0,174.0,3.0,3.0,10.0,53.0,11876.0,9133.0,31.259903,35.2291369,עיר,עיר
ספיר,498.0,-14.0,1.0,0.0,0.0,0.0,53.0,297.3989772,1362.0,30.6140945,35.1846411,מועצה אזורית הערבה התיכונה,ישוב
כסייפה,23990.0,466.0,71.0,0.0,0.0,0.0,54.0,9959.0,1438.0,31.240538,35.0912012,עיר,עיר
פארן,537.0,106.0,1.0,0.0,0.0,0.0,52.0,320.6892573,1362.0,30.3626131,35.1538972,מועצה אזורית הערבה התיכונה,ישוב
ערערה בנגב,20381.0,458.0,98.0,0.0,0.0,0.0,56.0,8754.2,887.0,31.1576075,35.0180527,עיר,עיר
עין יהב,856.0,-83.0,1.0,0.0,0.0,0.0,53.0,511.1918154,1362.0,30.6569021,35.2381753,מועצה אזורית הערבה התיכונה,ישוב
באר שבע,214162.0,52.0,926.0,1.0,1.0,1.0,57.0,86943.0,49801.0,31.2580293,34.7943978,עיר,עיר
צופר,492.0,-2.0,1.0,0.0,0.0,0.0,53.0,293.8158567,1362.0,30.5586234,35.1801426,מועצה אזורית הערבה התיכונה,ישוב
שגב שלום,1766.8,318.0,13.0,0.0,0.0,0.0,61.0,666.99795052,3076.0,31.2013234,34.829761,עיר,עיר
עידן,432.0,-181.0,1.0,0.0,0.0,0.0,53.0,257.9846559,1362.0,30.8060345,35.2994035,מועצה אזורית הערבה התיכונה,ישוב
לקיה,16011.0,391.0,20.0,0.0,0.0,0.0,60.0,6724.6,1573.0,31.3218899,34.8707871,עיר,עיר
חצבה,723.0,45.0,1.0,0.0,0.0,0.0,53.0,431.7659848,1362.0,30.7677164,35.2796246,מועצה אזורית הערבה התיכונה,ישוב
אילת,53151.0,46.0,272.0,3.0,3.0,9.0,52.0,23921.0,39020.0,29.6254459,34.944585,עיר,עיר
נווה חריף,111.0,438.0,1.0,0.0,0.0,0.0,50.0,40.24604147,875.0,30.0389533,35.0358704,מועצה אזורית חבל אילות,ישוב
אילות,375.0,237.0,1.0,0.0,0.0,0.0,52.0,135.9663591,875.0,29.5812438,34.962663,מועצה אזורית חבל אילות,ישוב
קרית שמונה,22492.0,209.0,184.0,0.0,0.0,0.0,70.0,10283.0,20958.0,33.211582,35.5764977,עיר,עיר
